parc,spp,cob
3,Asteraceae sp.,1
4,Asteraceae sp.,1
8,Axonopus compressus,1
8,Axonopus affinis,20
9,Axonopus affinis,30
10,Axonopus affinis,5
10,Baccharis crispa,10
6,Cenchrus clandestinus,70
9,Cenchrus clandestinus,5
10,Cenchrus clandestinus,10
2,Centella asiatica,5
3,Centella asiatica,1
1,Cerastium glomeratum,1
2,Cerastium glomeratum,1
6,Cerastium glomeratum,1
7,Cerastium glomeratum,3
10,Cerastium glomeratum,2
9,Conyza suramensis,1
2,Cynodon dactylon,2
5,Cynodon dactylon,1
6,Cynodon dactylon,3
7,Cynodon dactylon,30
8,Cynodon dactylon,10
9,Cynodon dactylon,20
8,Cynodon nfluensis,5
10,Cynodon nfluensis,25
7,Cyperus sp. 1,1
7,Cyperus surinamensis,1
9,Cyperus surinamensis,1
7,Dichondra sericea,10
9,Dichondra sericea,5
10,Dichondra sericea,2
7,Eclipta prostrata,2
10,Eclipta prostrata,2
3,Eleocharis bonariensis,35
5,Eleocharis bonariensis,40
7,Eleocharis bonariensis,1
1,Eragrostis plana,70
2,Eragrostis plana,58
5,Eragrostis plana,10
8,Eringium horidum,10
10,Eringium horidum,15
4,Esterco,3
6,Esterco,1
7,Esterco,3
9,Esterco,5
10,Esterco,5
8,Fabaceae sp.,1
7,Galium richardianum,1
8,Galium richardianum,2
10,Galium richardianum,1
1,Gamochaeta americana,2
2,Gamochaeta americana,1
8,Gamochaeta americana,10
1,Gamochaeta pensylvanica,2
2,Glandularia selloi,2
2,Hipoxys decumbens,1
3,Hipoxys decumbens,1
5,Hipoxys decumbens,1
7,Hipoxys decumbens,2
8,Hipoxys decumbens,3
9,Hipoxys decumbens,1
10,Hipoxys decumbens,3
5,Hydrocotyle ranunculoides,1
5,Hydrocotyle ranunculoides,5
7,Hypochaeris chillensis,1
8,Hypochaeris chillensis,1
1,Indeterminada 1,1
8,Indeterminada 1,3
10,Indeterminada 1,1
9,Indeterminada 2,1
10,Indeterminada 2,1
1,Juncus bufonius,5
1,Juncus capillaceus,1
2,Juncus capillaceus,20
7,Juncus capillaceus,15
8,Juncus capillaceus,25
9,Juncus capillaceus,20
10,Juncus capillaceus,3
2,Leersia hexandra,1
3,Lolium mulflorum,25
4,Lolium mulflorum,20
5,Lolium mulflorum,1
6,Lolium mulflorum,1
7,Lolium mulflorum,3
9,Lolium mulflorum,2
10,Lolium mulflorum,1
3,Lotus corniculatus,5
4,Lotus corniculatus,5
5,Lotus corniculatus,3
3,Ludwigia peploides,5
4,Ludwigia peploides,5
5,Ludwigia peploides,1
9,Ludwigia peploides,2
4,Luziola peruviana,1
1,Mantilho,5
3,Mantilho,1
3,Mentha sp. 1,5
4,Mentha sp. 1,25
5,Mentha sp. 1,10
2,Micropsis spathulata,1
2,Micropsis spathulata,1
1,Oxalis brasiliensis,2
2,Oxalis brasiliensis,5
7,Oxalis brasiliensis,1
8,Oxalis brasiliensis,5
9,Oxalis brasiliensis,5
10,Oxalis brasiliensis,15
6,Oxalis corniculata,20
7,Oxalis corniculata,20
3,Panicum aquaticum,1
4,Panicum aquaticum,5
5,Panicum aquaticum,1
1,Paspalum notatum,2
2,Paspalum notatum,2
5,Paspalum notatum,3
8,Paspalum notatum,2
10,Paspalum notatum,5
9,Paspalum urvileii,1
10,Paspalum urvileii,5
7,Plantago tomentosa,1
10,Plantago tomentosa,1
2,Poa anua,1
6,Poa anua,3
7,Poa anua,1
8,Poa anua,1
8,Polygala australis,1
9,Portulaca oleracea,1
10,Portulaca oleracea,2
2,Rubiaceae sp. 1,1
2,Rubiaceae sp. 1,1
8,Scutellaria racemosa,1
9,Scutellaria racemosa,2
10,Scutellaria racemosa,2
8,Senecio selloi,1
3,Soliva sessilis,10
4,Soliva sessilis,2
5,Soliva sessilis,5
6,Soliva sessilis,1
7,Soliva sessilis,2
8,Soliva sessilis,1
9,Soliva sessilis,1
10,Soliva sessilis,1
1,Solo exposto,7
3,Solo exposto,10
5,Solo exposto,5
5,Solo exposto,10
7,Solo exposto,2
8,Solo exposto,5
2,Spergula arvensis,2
8,Spergula arvensis,2
8,Steinchisma hians,1
1,Trifolium repens,2
4,Trifolium repens,30
5,Trifolium repens,10
