parc;spp;H;dap;dap1;dap2;dap3;dap4;dap5;dap6;dap7
1;Allophylus edulis;6,00;9,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Allophylus edulis;6,50;9,23;5,89;0,00;0,00;0,00;0,00;0,00;0,00
1;Casearia sylvestris ;7,50;20,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Casearia sylvestris ;7,00;5,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Guarea macrophylla;4,50;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Guarea macrophylla;6,00;5,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Guarea macrophylla;4,50;7,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Myrsine parvula;7,00;11,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Myrsine parvula;8,70;31,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Sapium glandulosum;8,50;19,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Schinus terebinthifolia;7,50;22,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Schinus terebinthifolia;8,00;19,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Schinus terebinthifolia;8,00;17,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;Monteverdia aquifolia ;4,50;5,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Allophylus edulis;8,00;7,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Allophylus edulis;9,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Allophylus edulis;7,00;5,73;5,25;0,00;0,00;0,00;0,00;0,00;0,00
2;Allophylus edulis;6,50;9,23;5,89;7,64;6,14;0,00;0,00;0,00;0,00
2;Allophylus edulis;11,00;15,76;14,64;5,09;0,00;0,00;0,00;0,00;0,00
2;Casearia sylvestris ;8,00;5,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Cordia americana ;12,00;18,78;6,21;0,00;0,00;0,00;0,00;0,00;0,00
2;Cordia americana ;10,00;9,87;8,59;0,00;0,00;0,00;0,00;0,00;0,00
2;Eugenia uniflora ;4,00;6,37;7,32;0,00;0,00;0,00;0,00;0,00;0,00
2;Guarea macrophylla;5,50;5,89;5,89;0,00;0,00;0,00;0,00;0,00;0,00
2;Guarea macrophylla;5,50;8,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Guarea macrophylla;5,30;8,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Guarea macrophylla;4,00;5,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Lithraea brasiliensis;8,00;9,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Lithraea brasiliensis;5,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Matayba elaeagnoides;7,50;14,32;7,96;14,32;13,69;0,00;0,00;0,00;0,00
2;Ocotea pulchella ;10,00;8,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Schinus terebinthifolia;11,00;17,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Schinus terebinthifolia;12,00;16,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Schinus terebinthifolia;10,00;16,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Schinus terebinthifolia;12,00;12,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Schinus terebinthifolia;13,00;24,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Allophylus edulis;8,00;8,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Allophylus edulis;10,00;18,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Allophylus edulis;6,00;10,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Allophylus edulis;8,00;12,41;10,19;0,00;0,00;0,00;0,00;0,00;0,00
3;Allophylus edulis;6,00;10,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Casearia sylvestris ;11,00;17,19;14,16;0,00;0,00;0,00;0,00;0,00;0,00
3;Casearia sylvestris ;8,00;11,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Erythroxylum argentinum;12,00;15,28;14,16;12,41;0,00;0,00;0,00;0,00;0,00
3;Erythroxylum argentinum;13,00;17,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Guarea macrophylla;7,00;1,11;5,25;0,00;0,00;0,00;0,00;0,00;0,00
3;Guarea macrophylla;4,00;5,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Guarea macrophylla;5,00;6,21;6,37;12,10;5,41;0,00;0,00;0,00;0,00
3;Guarea macrophylla;7,50;11,78;13,69;9,55;7,96;8,59;5,73;5,09;5,57
3;Morta;1,40;6,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00
3;Myrsine parvula;6,00;12,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00
